id;f_id;row;col;x;y;area;zonearea;landtype;soiltype;availablefieldcapacity;nfk_faktor;nfk_offset;groundwaterdepth;baseflowindex;rechargedelay;init_boden;init_gwn
[-];[-];[-];[-];[m];[m];[m²];[m²];[-];[-];[-];[-];[-];[m];[-];[d];[%];[mm/a]
0;0;1;1;3455523.97;5567807.03;10000;10000;MISCHWALD;CLAY;0.0906;1;0;2.9;0.2839615;5;50;0
1;1;1;2;3455623.97;5567807.03;10000;10000;GRAS;CLAY;0.0906;1;0;2.9;0.2830686;10;50;0
2;2;1;3;3455723.97;5567807.03;10000;10000;NADELWALD;LOAM;0.0906;1;0;2.9;0.2759066;flurab_probst;30;0
3;3;2;1;3455523.97;5567707.03;10000;10000;MAIS;SAND;0.0906;1.5;0;2.9;0.2759428;100;50;0
4;4;2;2;3455623.97;5567707.03;10000;6000;NADELLWALD;sand;0.06733333333;1;0;2.9;0.2448676;10;50;40
4;5;2;2;3455623.97;5567707.03;10000;4000;SOMMERWEIZEN;SAND;0.06733333333;1;0;2.9;0.2448676;13;50;100
5;6;2;3;3455723.97;5567707.03;10000;10000;NADELWALD;SILT;0.0906;1;-0.01;2.9;0.293793;10;20;40
6;7;3;1;3455523.97;5567607.03;10000;10000;NADELWALD;CLAY;0.0906;1;0;2.9;0.2871167;10;50;40
7;8;3;2;3455623.97;5567607.03;10000;10000;NADELWALD;CLAY;0.0906;1;0.025;2.9;0.2870459;10;50;30.6
8;9;3;3;3455723.97;5567607.03;10000;10000;WINTERWEIZEN;SAND_COHESIVE;0.0906;1;0;2.9;0.286119;14.5;50;70
9;10;4;1;3455523.97;5567507.03;10000;10000;ZUCKERRUEBEN;CLAY;0.0906;0.5;0;2.9;0.2832941;10;30.5;0
10;11;4;2;3455623.97;5567507.03;10000;10000;MAIS;CLAY;0.0906;1;0;2.9;0.2860536;10;50;40
11;12;4;3;3455723.97;5567507.03;10000;7000;MISCHWALD;CLAY;0.0906;1;0;2.9;0.2847355;10;50;40
11;13;4;3;3455723.97;5567507.03;10000;3000;ZUCKERRUEBEN;SAND;0.0906;1;0;2.9;0.2871167;10;50;40
