Messnetz	StationNr	X	Y	Lat	Long	HNN	Richterklasse	Dateiname
DWD	1	3465773.0	5543398.0	50.0259	8.5213	-999	-999	1_Lufttemperatur.asc
DWD	1	3465773.0	5543398.0	50.0259	8.5213	-999	-999	1_Relative-Feuchte.asc
DWD	1	3465773.0	5543398.0	50.0259	8.5213	-999	-999	1_Windgeschwindigkeit.asc
DWD	1	3465773.0	5543398.0	50.0259	8.5213	-999	-999	1_Sonnenscheindauer.asc
DWD	1	3465773.0	5543398.0	50.0259	8.5213	-999	-999	1_Luftdruck.asc
DWD	1	3465773.0	5543398.0	50.0259	8.5213	-999	-999	1_Niederschlag.asc
DWD	2	3476845.0	5556809.0	50.147	8.675	-999	-999	2_Lufttemperatur.asc
DWD	2	3476845.0	5556809.0	50.147	8.675	-999	-999	2_Relative-Feuchte.asc
DWD	2	3476845.0	5556809.0	50.147	8.675	-999	-999	2_Windgeschwindigkeit.asc
DWD	2	3476845.0	5556809.0	50.147	8.675	-999	-999	2_Sonnenscheindauer.asc
DWD	2	3476845.0	5556809.0	50.147	8.675	-999	-999	2_Luftdruck.asc
DWD	2	3476845.0	5556809.0	50.147	8.675	-999	-999	2_Niederschlag.asc
DWD	3	3476407.0	5554586.0	50.127	8.669	-999	-999	3_Lufttemperatur.asc
DWD	3	3476407.0	5554586.0	50.127	8.669	-999	-999	3_Relative-Feuchte.asc
DWD	3	3476407.0	5554586.0	50.127	8.669	-999	-999	3_Windgeschwindigkeit.asc
DWD	3	3476407.0	5554586.0	50.127	8.669	-999	-999	3_Sonnenscheindauer.asc
DWD	3	3476407.0	5554586.0	50.127	8.669	-999	-999	3_Luftdruck.asc
DWD	3	3476407.0	5554586.0	50.127	8.669	-999	-999	3_Niederschlag.asc
DWD	4	3475760.0	5553921.0	50.121	8.66	-999	-999	4_Lufttemperatur.asc
DWD	4	3475760.0	5553921.0	50.121	8.66	-999	-999	4_Relative-Feuchte.asc
DWD	4	3475760.0	5553921.0	50.121	8.66	-999	-999	4_Windgeschwindigkeit.asc
DWD	4	3475760.0	5553921.0	50.121	8.66	-999	-999	4_Sonnenscheindauer.asc
DWD	4	3475760.0	5553921.0	50.121	8.66	-999	-999	4_Luftdruck.asc
DWD	4	3475760.0	5553921.0	50.121	8.66	-999	-999	4_Niederschlag.asc
DWD	5	3438168.0	5543991.0	nan	nan	-999	-999	5_Niederschlag.asc
DWD	6	3457044.0	5556598.0	nan	nan	-999	-999	6_Niederschlag.asc
DWD	7	3484302.0	5540430.0	nan	nan	-999	-999	7_Niederschlag.asc
DWD	8	3445255.0	5536238.0	nan	nan	-999	-999	8_Niederschlag.asc
DWD	9	3435601.0	5521105.0	nan	nan	-999	-999	9_Niederschlag.asc

